kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp32,8,64,8192,3,95,196301187,196301328,141.476000000,141.246368408,34359738368,23.072288904,23.109798728
fp32,8,64,8192,4,95,196301328,196301468,140.999000000,140.733764648,34359738368,23.150342520,23.193973053
fp32,8,256,8192,0,28,196301625,196301765,149.434000000,149.185852051,137438953472,25.752443870,25.795279139
fp32,8,256,8192,1,28,196301765,196301921,149.327000000,149.129501343,137438953472,25.770896738,25.805026253
fp32,8,256,8192,2,28,196301921,196302062,149.204000000,148.971557617,137438953472,25.792141613,25.832385448
fp32,8,256,8192,3,28,196302062,196302218,149.339000000,149.107910156,137438953472,25.768825941,25.808762883
fp32,8,256,8192,4,28,196302218,196302375,149.346000000,149.165084839,137438953472,25.767618130,25.798870435
fp32,8,1024,8192,0,8,196302562,196302734,170.176000000,169.999649048,549755813888,25.844105580,25.870915239
fp32,8,1024,8192,1,8,196302734,196302906,170.275000000,170.084060669,549755813888,25.829079496,25.858075670
fp32,8,1024,8192,2,8,196302906,196303078,173.911000000,173.628402710,549755813888,25.289064585,25.330225023
fp32,8,1024,8192,3,8,196303078,196303250,170.773000000,170.490097046,549755813888,25.753757978,25.796492508
fp32,8,1024,8192,4,8,196303250,196303421,168.045000000,167.883804321,549755813888,26.171837967,26.196967176
fp32,16,64,8192,0,52,196303578,196303718,150.715000000,150.313690186,68719476736,23.709735529,23.773036148
fp32,16,64,8192,1,52,196303718,196303875,148.684000000,148.382583618,68719476736,24.033606779,24.082427352
fp32,16,64,8192,2,52,196303875,196304015,151.211000000,151.004135132,68719476736,23.631963219,23.664337319
fp32,16,64,8192,3,52,196304015,196304171,148.551000000,148.330383301,68719476736,24.055124437,24.090902422
fp32,16,64,8192,4,52,196304171,196304328,151.172000000,150.943557739,68719476736,23.638059894,23.673834404
fp32,16,256,8192,0,14,196304484,196304625,148.434000000,148.212356567,274877906944,25.925938109,25.964708924
fp32,16,256,8192,1,14,196304625,196304781,148.392000000,148.196899414,274877906944,25.933276034,25.967417081
fp32,16,256,8192,2,14,196304781,196304921,148.321000000,148.126892090,274877906944,25.945690072,25.979689730
fp32,16,256,8192,3,14,196304921,196305078,148.505000000,148.315811157,274877906944,25.913542960,25.946597785
fp32,16,256,8192,4,14,196305078,196305218,148.612000000,148.399063110,274877906944,25.894885320,25.932041730
fp32,16,1024,8192,0,4,196305453,196305625,173.410000000,173.179809570,1099511627776,25.362127392,25.395838707
fp32,16,1024,8192,1,4,196305625,196305796,177.421000000,177.206115723,1099511627776,24.788759567,24.818818996
fp32,16,1024,8192,2,4,196305796,196305984,181.131000000,180.966384888,1099511627776,24.281025949,24.303113055
fp32,16,1024,8192,3,4,196305984,196306156,177.336000000,177.186004639,1099511627776,24.800641218,24.821635998
fp32,16,1024,8192,4,4,196306156,196306328,175.121000000,174.801101685,1099511627776,25.114329584,25.160290574
